precinct,2009,2010,2011,2012,2013,total
19th Precinct ,53 ,48 ,45 ,38 ,36 ,220
20th Precinct ,31 ,35 ,40 ,26 ,36 ,168
23rd Precinct ,125 ,111 ,98 ,93 ,80 ,507
24th Precinct ,54 ,39 ,36 ,46 ,49 ,224
25th Precinct ,114 ,113 ,100 ,87 ,92 ,506
26th Precinct ,51 ,28 ,30 ,42 ,44 ,195
Central Park ,5 ,7 ,2 ,5 ,6 ,25
28th Precinct ,130 ,94 ,80 ,72 ,75 ,451
30th Precinct ,99 ,69 ,39 ,44 ,58 ,309
32nd Precinct ,167 ,112 ,120 ,105 ,61 ,565
33rd Precinct ,90 ,56 ,62 ,46 ,60 ,314
34th Precinct ,139 ,68 ,67 ,92 ,71 ,437
Manhattan North Total ,1058 ,780 ,719 ,696 ,668 ,3921
Manhattan Total ,1807 ,1367 ,1315 ,1301 ,1252 ,7042
